task_key,split,group,delay_steps,valid_target_count,valid_episodes,utility,utility_sd_across_episodes,revision_or_abs_diff,revision_or_abs_diff_sd_across_episodes,translation_revision,rotation_revision,gripper_sign_disagreement
libero_goal:task5,held_out,arm,4,1552,10,0.6624879896640777,0.04324851099641967,0.33751203417778014,0.043248505783093236,0.48366609811782835,0.6738036274909973,0.0
libero_goal:task5,held_out,arm,8,1512,10,0.6528291285037995,0.0441412898414238,0.34717086553573606,0.04414128473784581,0.5235951185226441,0.6831429898738861,0.0
libero_goal:task5,held_out,arm,16,1432,10,0.6375255942344665,0.04976554032614634,0.36247440576553347,0.04976555390370354,0.5872264623641967,0.7124004304409027,0.0009259259328246117
libero_goal:task5,held_out,arm,20,1392,10,0.6312013655900955,0.05116278034957116,0.36879863142967223,0.05116276650980561,0.6047861516475678,0.7376450717449188,0.0
libero_goal:task5,held_out,arm,32,1272,10,0.6140344500541687,0.05365301220019157,0.3859655499458313,0.05365301626939284,0.6773220151662827,0.7885550558567047,0.0
libero_goal:task5,held_out,gripper,0,1592,10,1.0,0.0,0.0,0.0,,,0.0
libero_goal:task5,held_out,gripper,4,1552,10,0.9936247050762177,0.0005853284595649761,0.012750556413084268,0.0011706744284655517,,,0.0
libero_goal:task5,held_out,gripper,8,1512,10,0.9929841935634613,0.000584290517948485,0.01403159499168396,0.0011686184042197594,,,0.0
libero_goal:task5,held_out,gripper,16,1432,10,0.9921830892562866,0.0031195606236595255,0.015637764893472194,0.006251081461487122,,,0.0009259259328246117
libero_goal:task5,held_out,gripper,20,1392,10,0.9929499864578247,0.0008833676408096054,0.014100036025047303,0.001766736849803022,,,0.0
libero_goal:task5,held_out,gripper,32,1272,10,0.9922128796577454,0.0009128009800460514,0.015574289113283157,0.0018255972572159373,,,0.0
libero_10:task3,development,arm,0,2852,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0
libero_10:task3,development,arm,4,2812,10,0.6412744402885437,0.017378389482649675,0.35872557759284973,0.017378402073623418,0.3606659024953842,0.8660511493682861,0.07062267810106278
libero_10:task3,development,arm,8,2772,10,0.6389830887317658,0.01912976366446832,0.3610168993473053,0.01912977186603331,0.3830201119184494,0.8646775305271148,0.09008768508210778
libero_10:task3,development,arm,16,2692,10,0.6214963793754578,0.027075680741650843,0.378503629565239,0.02707566190869691,0.4424272358417511,0.9432104766368866,0.10249797441065311
libero_10:task3,development,arm,20,2652,10,0.6060904324054718,0.03421931578616892,0.39390957057476045,0.03421931714905212,0.4788322925567627,1.0204188585281373,0.10589696541428566
libero_10:task3,development,arm,32,2532,10,0.5835402488708497,0.04360905313873531,0.41645972728729247,0.043609043182107836,0.5484514355659484,1.164188814163208,0.1124596755951643
libero_10:task3,development,gripper,0,2852,10,1.0,0.0,0.0,0.0,,,0.0
libero_10:task3,development,gripper,4,2812,10,0.9236382961273193,0.033212511580869394,0.1530519552528858,0.06652235734050203,,,0.07062267810106278
libero_10:task3,development,gripper,8,2772,10,0.9047696590423584,0.06705850413593999,0.19090862162411212,0.1344609154630548,,,0.09008768508210778
libero_10:task3,development,gripper,16,2692,10,0.8913557708263398,0.09904323483922509,0.21785999983549117,0.19856885878951036,,,0.10249797441065311
libero_10:task3,development,gripper,20,2652,10,0.8876341581344604,0.11422400350803903,0.22531556859612464,0.22895274487360473,,,0.10589696541428566
libero_10:task3,development,gripper,32,2532,10,0.8809265971183777,0.1308177727369525,0.2388309121131897,0.2624185445356554,,,0.1124596755951643
libero_10:task5,held_out,arm,0,3354,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0
libero_10:task5,held_out,arm,4,3314,10,0.6684211194515228,0.026876992854735732,0.3315788745880127,0.026876985752627775,0.41115002930164335,0.6751862287521362,0.009511013119481503
libero_10:task5,held_out,arm,8,3274,10,0.6626637637615204,0.025983932255802183,0.3373362302780151,0.02598394249526585,0.42992431819438937,0.6811635792255402,0.011084994114935399
libero_10:task5,held_out,arm,16,3194,10,0.6508190155029296,0.03283526128283322,0.34918099343776704,0.032835272505418,0.4591370701789856,0.7195051670074463,0.012657139939256013
libero_10:task5,held_out,arm,20,3154,10,0.6462657809257507,0.035590702246317156,0.3537342190742493,0.03559071056158566,0.4776054620742798,0.7282812297344208,0.011428958922624587
libero_10:task5,held_out,arm,32,3034,10,0.6327858686447143,0.04252726330997389,0.3672141253948212,0.04252727453459727,0.533921304345131,0.7497500777244568,0.014524463471025229
libero_10:task5,held_out,gripper,0,3354,10,1.0,0.0,0.0,0.0,,,0.0
libero_10:task5,held_out,gripper,4,3314,10,0.9848193168640137,0.005729953108355622,0.030396361649036408,0.011493669788828584,,,0.009511013119481503
libero_10:task5,held_out,gripper,8,3274,10,0.9832098603248596,0.005748239500779155,0.03362800646573305,0.011528943224684628,,,0.011084994114935399
libero_10:task5,held_out,gripper,16,3194,10,0.9813700318336487,0.008616578908808176,0.037303163670003414,0.017276730601726152,,,0.012657139939256013
libero_10:task5,held_out,gripper,20,3154,10,0.9823498785495758,0.0077820705749860955,0.03532529417425394,0.01556801179929767,,,0.011428958922624587
libero_10:task5,held_out,gripper,32,3034,10,0.9788666784763336,0.010297923540728334,0.04229330588132143,0.02061073133628143,,,0.014524463471025229
