model,seed,offset,sample_count,positive_count,negative_count,positive_rate,auroc,auprc,brier,ece,undefined_discrimination,undefined_reason,empirical_brier,brier_skill_score_vs_empirical
empirical_group_offset_prior_train_only,train_only,14,630,476,154,0.7555555555555555,0.6418067226890757,0.8138923355071069,0.17516838708306176,0.03713950368879936,False,,0.17516838708306176,0.0
empirical_group_offset_prior_train_only,train_only,15,628,459,169,0.7308917197452229,0.6477485142643513,0.7982783453813412,0.18418948609162755,0.027750894645630297,False,,0.18418948609162755,0.0
empirical_group_offset_prior_train_only,train_only,16,624,446,178,0.7147435897435898,0.6532725348919232,0.7924453313828247,0.18916174852867754,0.02718939124243519,False,,0.18916174852867754,0.0
empirical_group_offset_prior_train_only,train_only,17,622,435,187,0.6993569131832797,0.6586637162702071,0.7811797289016921,0.19316626380514185,0.0240032556126602,False,,0.19316626380514185,0.0
empirical_group_offset_prior_train_only,train_only,18,618,417,201,0.6747572815533981,0.6788002433873797,0.7764534693876124,0.19511600265432533,0.01552248889136526,False,,0.19511600265432533,0.0
empirical_group_offset_prior_train_only,train_only,19,618,408,210,0.6601941747572816,0.6839285714285714,0.7699847629890176,0.1973615027386028,0.0152381018997792,False,,0.1973615027386028,0.0
empirical_group_offset_prior_train_only,train_only,20,612,396,216,0.6470588235294118,0.686026936026936,0.7595883424273918,0.19973326552219994,0.011801345010577974,False,,0.19973326552219994,0.0
empirical_group_offset_prior_train_only,train_only,21,612,392,220,0.6405228758169934,0.6809601113172542,0.753420612913815,0.20285209695560347,0.019104803493449868,False,,0.20285209695560347,0.0
empirical_group_offset_prior_train_only,train_only,22,612,383,229,0.6258169934640523,0.6866555691107893,0.7421748357010097,0.20385935715860218,0.01567434759792008,False,,0.20385935715860218,0.0
empirical_group_offset_prior_train_only,train_only,23,610,364,246,0.5967213114754099,0.690744215134459,0.7233816835759588,0.20740007699302235,0.018595277485336098,False,,0.20740007699302235,0.0
empirical_group_offset_prior_train_only,train_only,24,606,350,256,0.5775577557755776,0.6961383928571429,0.7107775186700829,0.2078626614666031,0.01956188971925274,False,,0.2078626614666031,0.0
empirical_group_offset_prior_train_only,train_only,25,600,341,259,0.5683333333333334,0.6919179338534177,0.6969138821504012,0.21052205428393125,0.021812243374393525,False,,0.21052205428393125,0.0
empirical_group_offset_prior_train_only,train_only,26,592,326,266,0.5506756756756757,0.6911527284468841,0.6864435348638707,0.21242368502578124,0.021986735139194833,False,,0.21242368502578124,0.0
empirical_group_offset_prior_train_only,train_only,27,588,318,270,0.5408163265306123,0.6883298392732355,0.6745487571959251,0.21420481301986444,0.020951712759149727,False,,0.21420481301986444,0.0
empirical_group_offset_prior_train_only,train_only,28,582,305,277,0.5240549828178694,0.6911641119725395,0.6707534177892274,0.21390880519031513,0.02319359403222543,False,,0.21390880519031513,0.0
empirical_group_offset_prior_train_only,train_only,29,578,298,280,0.5155709342560554,0.6974232981783317,0.678324484348722,0.21149132516581798,0.02058055771027975,False,,0.21149132516581798,0.0
empirical_group_offset_prior_train_only,train_only,30,578,288,290,0.4982698961937716,0.6937739463601532,0.6575064327309623,0.21350275626001258,0.025585432778910122,False,,0.21350275626001258,0.0
empirical_group_offset_prior_train_only,train_only,31,576,277,299,0.4809027777777778,0.6999444598722577,0.6475376131723407,0.2107840532885545,0.027221013324736726,False,,0.2107840532885545,0.0
empirical_group_offset_prior_train_only,train_only,32,574,275,299,0.47909407665505227,0.6972088780784433,0.6444168235120223,0.21165164669065356,0.022465985747443684,False,,0.21165164669065356,0.0
empirical_group_offset_prior_train_only,train_only,33,568,261,307,0.4595070422535211,0.7002570918666616,0.6156672218510288,0.21013112819491803,0.029900568574254414,False,,0.21013112819491803,0.0
empirical_group_offset_prior_train_only,train_only,34,568,252,316,0.44366197183098594,0.6997187060478199,0.5926501396822615,0.20995071780074956,0.034872884411629224,False,,0.20995071780074956,0.0
empirical_group_offset_prior_train_only,train_only,35,566,246,320,0.43462897526501765,0.7013211382113821,0.5863233214476148,0.2085135699921319,0.034653624814252965,False,,0.2085135699921319,0.0
