phase,strategy,name,arm_horizon,gripper_horizon,episodes,successes,macro_success_rate,macro_success_ci95_low,macro_success_ci95_high,pooled_success_rate,macro_query_rate,difference_vs_selected,difference_vs_selected_ci95_low,difference_vs_selected_ci95_high,statistically_tied_with_selected_descriptive,task_0_success_rate,task_1_success_rate,task_2_success_rate,task_3_success_rate,task_4_success_rate,task_5_success_rate,task_6_success_rate,task_7_success_rate,task_8_success_rate,task_9_success_rate
middle,global,phase_middle_global_h2,2,2,230,161,0.6819999999999999,0.5549999999999999,0.799,0.7,0.2007261132654557,-0.017000000000000005,-0.03500000000000002,0.0030000000000000083,True,0.82,0.45,0.7,0.9,0.8,0.9,0.6,0.5,0.3,0.85
middle,global,phase_middle_global_h4,4,4,230,159,0.6749999999999999,0.545,0.795,0.691304347826087,0.12289303629833204,-0.023999999999999987,-0.04899999999999999,1.6653345369377347e-17,True,0.8,0.45,0.7,0.9,0.8,0.9,0.55,0.5,0.3,0.85
middle,global,phase_middle_global_h8,8,8,230,159,0.6659999999999999,0.5209999999999999,0.799024999999998,0.691304347826087,0.08422724924680045,-0.032999999999999995,-0.07999999999999999,0.004000000000000015,True,0.86,0.3,0.7,0.9,0.8,0.9,0.55,0.5,0.3,0.85
middle,global,phase_middle_global_h16,16,16,230,165,0.699,0.589,0.8,0.717391304347826,0.0649491977936596,0.0,0.0,0.0,True,0.84,0.5,0.7,0.9,0.8,0.85,0.65,0.55,0.35,0.85
middle,group,phase_middle_group_arm1_grip1,1,1,230,163,0.6799999999999999,0.5549999999999999,0.8,0.7086956521739131,0.4776488511887015,-0.077,-0.11200000000000002,-0.041,False,0.9,0.6,0.75,0.75,0.8,0.7,0.4,0.55,0.35,1.0
middle,group,phase_middle_group_arm1_grip2,1,2,230,164,0.6849999999999999,0.57,0.8,0.7130434782608696,0.4862808482545657,-0.07200000000000001,-0.10500000000000001,-0.03900000000000001,False,0.9,0.6,0.75,0.75,0.8,0.7,0.45,0.55,0.35,1.0
middle,group,phase_middle_group_arm1_grip4,1,4,230,167,0.694,0.569,0.8160000000000001,0.7260869565217392,0.4833074951292228,-0.06299999999999999,-0.09999999999999996,-0.028000000000000008,False,0.94,0.55,0.75,0.8,0.8,0.75,0.45,0.55,0.35,1.0
middle,group,phase_middle_group_arm1_grip8,1,8,230,168,0.702,0.58,0.8210000000000001,0.7304347826086957,0.4822390556522744,-0.05499999999999998,-0.08500000000000002,-0.024999999999999977,False,0.92,0.6,0.8,0.8,0.8,0.75,0.45,0.55,0.35,1.0
middle,group,phase_middle_group_arm1_grip16,1,16,230,167,0.697,0.57,0.8190000000000002,0.7260869565217392,0.48196145815591784,-0.059999999999999984,-0.095,-0.024999999999999988,False,0.92,0.6,0.8,0.8,0.8,0.75,0.4,0.55,0.35,1.0
middle,group,phase_middle_group_arm2_grip1,2,1,230,161,0.676,0.5559999999999998,0.791,0.7,0.487518882698763,-0.081,-0.12600000000000003,-0.03800000000000001,False,0.86,0.6,0.75,0.75,0.8,0.65,0.35,0.6,0.4,1.0
middle,group,phase_middle_group_arm2_grip2,2,2,230,163,0.6859999999999999,0.5650000000000001,0.8,0.7086956521739131,0.32706587289398575,-0.07100000000000001,-0.10500000000000001,-0.03600000000000001,False,0.86,0.6,0.75,0.75,0.8,0.75,0.4,0.6,0.35,1.0
middle,group,phase_middle_group_arm2_grip4,2,4,230,165,0.6930000000000001,0.575,0.808,0.717391304347826,0.32533726736289925,-0.06399999999999999,-0.099,-0.02999999999999997,False,0.88,0.55,0.75,0.8,0.8,0.75,0.4,0.6,0.4,1.0
middle,group,phase_middle_group_arm2_grip8,2,8,230,170,0.7150000000000001,0.595,0.8300000000000001,0.7391304347826086,0.3252577432726928,-0.04199999999999999,-0.06902499999999999,-0.01699999999999998,False,0.9,0.6,0.8,0.8,0.8,0.85,0.45,0.55,0.4,1.0
middle,group,phase_middle_group_arm2_grip16,2,16,230,171,0.7139999999999999,0.585,0.833,0.7434782608695653,0.3255974657456199,-0.043,-0.075,-0.014000000000000018,False,0.94,0.65,0.75,0.8,0.8,0.85,0.45,0.55,0.35,1.0
middle,group,phase_middle_group_arm4_grip1,4,1,230,161,0.6759999999999999,0.5499999999999999,0.7999999999999999,0.7,0.49109545853745473,-0.081,-0.125,-0.040999999999999995,False,0.86,0.6,0.8,0.75,0.8,0.7,0.35,0.55,0.35,1.0
middle,group,phase_middle_group_arm4_grip2,4,2,230,165,0.6960000000000001,0.5810000000000001,0.806,0.717391304347826,0.32712962379743915,-0.061,-0.091,-0.03099999999999999,False,0.86,0.6,0.8,0.8,0.8,0.7,0.45,0.55,0.4,1.0
middle,group,phase_middle_group_arm4_grip4,4,4,230,167,0.7030000000000001,0.5900000000000001,0.813,0.7260869565217392,0.2515112902118525,-0.05399999999999999,-0.084,-0.025,False,0.88,0.6,0.8,0.8,0.8,0.7,0.5,0.55,0.4,1.0
middle,group,phase_middle_group_arm4_grip8,4,8,230,170,0.718,0.5979999999999999,0.8280000000000001,0.7391304347826086,0.25164713693723983,-0.039,-0.073,-0.01200000000000001,False,0.88,0.6,0.8,0.8,0.8,0.85,0.5,0.6,0.35,1.0
middle,group,phase_middle_group_arm4_grip16,4,16,230,175,0.734,0.614,0.843,0.7608695652173914,0.25169058192673033,-0.023,-0.06,0.008999999999999998,True,0.94,0.6,0.8,0.8,0.8,0.85,0.55,0.65,0.35,1.0
middle,group,phase_middle_group_arm8_grip1,8,1,230,168,0.702,0.56695,0.8240000000000001,0.7304347826086957,0.48565720953792485,-0.05499999999999999,-0.1,-0.01499999999999999,False,0.92,0.6,0.8,0.8,0.8,0.8,0.35,0.6,0.35,1.0
middle,group,phase_middle_group_arm8_grip2,8,2,230,166,0.695,0.57,0.8100000000000002,0.7217391304347827,0.32669840929487454,-0.062,-0.1,-0.025,False,0.9,0.6,0.8,0.75,0.8,0.75,0.4,0.6,0.35,1.0
middle,group,phase_middle_group_arm8_grip4,8,4,230,170,0.712,0.587,0.8260000000000002,0.7391304347826086,0.25156958968995285,-0.04499999999999999,-0.07999999999999999,-0.01499999999999999,False,0.92,0.65,0.8,0.8,0.8,0.75,0.45,0.6,0.35,1.0
middle,group,phase_middle_group_arm8_grip8,8,8,230,172,0.7220000000000001,0.6049999999999999,0.8320000000000001,0.7478260869565218,0.21401309871165455,-0.034999999999999996,-0.06999999999999999,-0.0050000000000000044,False,0.92,0.7,0.8,0.8,0.8,0.75,0.5,0.6,0.35,1.0
middle,group,phase_middle_group_arm8_grip16,8,16,230,170,0.712,0.595,0.8210000000000001,0.7391304347826086,0.2140894888267048,-0.045,-0.07500000000000001,-0.019999999999999983,False,0.92,0.65,0.75,0.8,0.8,0.75,0.5,0.6,0.35,1.0
middle,group,phase_middle_group_arm16_grip1,16,1,230,168,0.702,0.5820000000000001,0.8160000000000001,0.7304347826086957,0.48279341549310784,-0.05500000000000001,-0.095,-0.01999999999999999,False,0.92,0.65,0.8,0.75,0.8,0.7,0.45,0.6,0.35,1.0
