task,episode,timestep,state_id,phase,object_goal_distance,eef_object_distance,action_magnitude,action_velocity,action_acceleration,gripper_transition,p_fail_0,p_fail_1,p_fail_2,fragility_score,first_nonzero_scale_m,robustness_margin_50pct_m
StackCube-v1,1,0,f348a333498e870e91e3a39c0162255b252eaa787c97b148c149af95547eae81,0.0,0.08870353732364147,0.15676230192184448,3.91524600982666,3.91524600982666,3.91524600982666,1.0,0.0,0.3333333333333333,0.3333333333333333,0.26666666666666666,0.003,nan
StackCube-v1,1,5,d3f49a0874433eaa4ed6180fd4d2fb9d5b53287665cb41f75fd7f3af40374a42,0.09090909090909091,0.08870418331529184,0.06735282391309738,3.91524600982666,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.26666666666666666,0.003,nan
StackCube-v1,1,10,c1c060cfd7a074d75e0da58d3a9886ee5a057eca87279d56199447393bb71373,0.18181818181818182,0.08870397287077413,0.03230171650648117,3.914262533187866,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.26666666666666666,0.003,nan
StackCube-v1,1,15,bd7d13e3bbdbfee30653a6dd861b37964940e0678c3788fe605b68b578c92855,0.2727272727272727,0.08870420738382434,0.0018514891853556037,3.914262533187866,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.26666666666666666,0.003,nan
StackCube-v1,1,20,ef68d320cfa089910f6a17210a64840b7444b2c74f7082f61542c2189deda4d4,0.36363636363636365,0.08830848948415185,0.000605821143835783,3.914262533187866,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.26666666666666666,0.003,nan
StackCube-v1,1,25,9404bedb473e68ba668819c2116b6b02aa70ff375abfb9c2794c391900270b5d,0.45454545454545453,0.06830342231752837,0.000593697011936456,3.917480230331421,0.0,0.14000003039836884,0.0,0.0,0.3333333333333333,0.3333333333333333,0.26666666666666666,0.003,nan
StackCube-v1,1,30,6d294065f88173b73201bd4fa5d3b051fb37754be1308750092bf39cab6fde4a,0.5454545454545454,0.12992629318233742,0.0005983985029160976,3.917480230331421,0.0,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.21666666666666665,0.003,nan
StackCube-v1,1,35,d00cd94949f218d041178f61d5094e4ef92dbb9bbb180e9c453cf7a096ff3d4e,0.6363636363636364,0.08714735475576714,0.0006014787941239774,3.905477523803711,0.0,0.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.18333333333333332,0.003,nan
StackCube-v1,1,40,7dc89dfd00d7f50ba4325eb2a91c1d822efb164f3035f94514d19411f85182b0,0.7272727272727273,0.08034787050022359,0.0005970415659248829,3.903428554534912,0.08000001311302185,0.08000001311302185,0.0,0.0,0.16666666666666666,0.16666666666666666,0.13333333333333333,0.003,nan
StackCube-v1,1,45,31125c9d9635a93c121a2d0d0de7e00f2f7f0bf309e2f895b2718236471d480d,0.8181818181818182,0.004285557112232654,0.0005956765962764621,3.903428554534912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan
