cell_id,policy,suite,task_id,state_id,eligible_targets,metric,value
act-libero_spatial-task00-state17,ACT,libero_spatial,0,17,60,translation,0.10178263092604102
act-libero_spatial-task00-state17,ACT,libero_spatial,0,17,60,rotation,0.11180123321675738
act-libero_spatial-task00-state17,ACT,libero_spatial,0,17,60,gripper,0.01895037244432771
act-libero_spatial-task00-state17,ACT,libero_spatial,0,17,60,arm_original,0.10870365678722838
act-libero_spatial-task00-state18,ACT,libero_spatial,0,18,265,dim_0,0.5221952177187434
act-libero_spatial-task00-state18,ACT,libero_spatial,0,18,265,dim_1,0.11141122693614541
act-libero_spatial-task00-state18,ACT,libero_spatial,0,18,265,dim_2,0.6755320549942209
act-libero_spatial-task00-state18,ACT,libero_spatial,0,18,265,dim_3,0.43983736144176483
act-libero_spatial-task00-state18,ACT,libero_spatial,0,18,265,dim_4,1.0475054731107987
act-libero_spatial-task00-state18,ACT,libero_spatial,0,18,265,dim_5,0.32967101908288543
act-libero_spatial-task00-state18,ACT,libero_spatial,0,18,265,dim_6,0.2974702789646663
act-libero_spatial-task00-state18,ACT,libero_spatial,0,18,265,translation,0.5097486369786697
act-libero_spatial-task00-state18,ACT,libero_spatial,0,18,265,rotation,0.7020950064096402
act-libero_spatial-task00-state18,ACT,libero_spatial,0,18,265,gripper,0.2974702789646663
act-libero_spatial-task00-state18,ACT,libero_spatial,0,18,265,arm_original,0.6206049215217516
act-libero_spatial-task00-state19,ACT,libero_spatial,0,19,62,dim_0,0.15122176696386014
act-libero_spatial-task00-state19,ACT,libero_spatial,0,19,62,dim_1,0.05564406340114914
act-libero_spatial-task00-state19,ACT,libero_spatial,0,19,62,dim_2,0.09834081166525045
act-libero_spatial-task00-state19,ACT,libero_spatial,0,19,62,dim_3,0.15106883435919272
act-libero_spatial-task00-state19,ACT,libero_spatial,0,19,62,dim_4,0.08359734393340952
act-libero_spatial-task00-state19,ACT,libero_spatial,0,19,62,dim_5,0.08176420838165126
act-libero_spatial-task00-state19,ACT,libero_spatial,0,19,62,dim_6,0.02040208156237983
act-libero_spatial-task00-state19,ACT,libero_spatial,0,19,62,translation,0.1268072367893117
act-libero_spatial-task00-state19,ACT,libero_spatial,0,19,62,rotation,0.11944687639094217
act-libero_spatial-task00-state19,ACT,libero_spatial,0,19,62,gripper,0.02040208156237983
act-libero_spatial-task00-state19,ACT,libero_spatial,0,19,62,arm_original,0.12582569514434946
act-libero_goal-task02-state10,ACT,libero_goal,2,10,68,dim_0,0.08949076399206318
act-libero_goal-task02-state10,ACT,libero_goal,2,10,68,dim_1,0.03428092392378237
act-libero_goal-task02-state10,ACT,libero_goal,2,10,68,dim_2,0.0731548874563574
act-libero_goal-task02-state10,ACT,libero_goal,2,10,68,dim_3,0.06851618534315321
act-libero_goal-task02-state10,ACT,libero_goal,2,10,68,dim_4,0.0948533610552953
act-libero_goal-task02-state10,ACT,libero_goal,2,10,68,dim_5,0.03536628375532603
act-libero_goal-task02-state10,ACT,libero_goal,2,10,68,dim_6,0.022502259036177575
act-libero_goal-task02-state10,ACT,libero_goal,2,10,68,translation,0.07952072628814584
act-libero_goal-task02-state10,ACT,libero_goal,2,10,68,rotation,0.07516899329831646
act-libero_goal-task02-state10,ACT,libero_goal,2,10,68,gripper,0.022502259036177575
act-libero_goal-task02-state10,ACT,libero_goal,2,10,68,arm_original,0.08037390332412561
act-libero_goal-task02-state11,ACT,libero_goal,2,11,65,dim_0,0.0970167528024811
act-libero_goal-task02-state11,ACT,libero_goal,2,11,65,dim_1,0.05068476024964261
act-libero_goal-task02-state11,ACT,libero_goal,2,11,65,dim_2,0.06987412272686191
act-libero_goal-task02-state11,ACT,libero_goal,2,11,65,dim_3,0.0896026029149895
act-libero_goal-task02-state11,ACT,libero_goal,2,11,65,dim_4,0.11928375490673
act-libero_goal-task02-state11,ACT,libero_goal,2,11,65,dim_5,0.04022727789643306
act-libero_goal-task02-state11,ACT,libero_goal,2,11,65,dim_6,0.019494915100894735
act-libero_goal-task02-state11,ACT,libero_goal,2,11,65,translation,0.08400561102727133
act-libero_goal-task02-state11,ACT,libero_goal,2,11,65,rotation,0.0967699962189149
act-libero_goal-task02-state11,ACT,libero_goal,2,11,65,gripper,0.019494915100894735
act-libero_goal-task02-state11,ACT,libero_goal,2,11,65,arm_original,0.09371864329846483
act-libero_goal-task02-state12,ACT,libero_goal,2,12,75,dim_0,0.084248468175462
act-libero_goal-task02-state12,ACT,libero_goal,2,12,75,dim_1,0.047925961730961086
act-libero_goal-task02-state12,ACT,libero_goal,2,12,75,dim_2,0.08069504709812864
act-libero_goal-task02-state12,ACT,libero_goal,2,12,75,dim_3,0.14209352667794956
act-libero_goal-task02-state12,ACT,libero_goal,2,12,75,dim_4,0.11403531890377827
act-libero_goal-task02-state12,ACT,libero_goal,2,12,75,dim_5,0.0375079777768234
act-libero_goal-task02-state12,ACT,libero_goal,2,12,75,dim_6,0.04791501910699966
act-libero_goal-task02-state12,ACT,libero_goal,2,12,75,translation,0.07903797008781487
act-libero_goal-task02-state12,ACT,libero_goal,2,12,75,rotation,0.1129919190078909
act-libero_goal-task02-state12,ACT,libero_goal,2,12,75,gripper,0.04791501910699966
act-libero_goal-task02-state12,ACT,libero_goal,2,12,75,arm_original,0.10021848440974741
act-libero_goal-task02-state13,ACT,libero_goal,2,13,75,dim_0,0.08560769305320465
act-libero_goal-task02-state13,ACT,libero_goal,2,13,75,dim_1,0.039294120358432556
act-libero_goal-task02-state13,ACT,libero_goal,2,13,75,dim_2,0.06643115941374217
act-libero_goal-task02-state13,ACT,libero_goal,2,13,75,dim_3,0.04639007911257962
act-libero_goal-task02-state13,ACT,libero_goal,2,13,75,dim_4,0.10397830188543754
act-libero_goal-task02-state13,ACT,libero_goal,2,13,75,dim_5,0.03539857537308275
act-libero_goal-task02-state13,ACT,libero_goal,2,13,75,dim_6,0.01841640723395035
act-libero_goal-task02-state13,ACT,libero_goal,2,13,75,translation,0.07204547039805775
act-libero_goal-task02-state13,ACT,libero_goal,2,13,75,rotation,0.07541695852738095
act-libero_goal-task02-state13,ACT,libero_goal,2,13,75,gripper,0.01841640723395035
act-libero_goal-task02-state13,ACT,libero_goal,2,13,75,arm_original,0.07689073375316943
act-libero_goal-task02-state14,ACT,libero_goal,2,14,69,dim_0,0.10700467505421117
act-libero_goal-task02-state14,ACT,libero_goal,2,14,69,dim_1,0.04250783269483221
act-libero_goal-task02-state14,ACT,libero_goal,2,14,69,dim_2,0.08977133176582569
act-libero_goal-task02-state14,ACT,libero_goal,2,14,69,dim_3,0.06735895741091331
act-libero_goal-task02-state14,ACT,libero_goal,2,14,69,dim_4,0.11419322143134342
act-libero_goal-task02-state14,ACT,libero_goal,2,14,69,dim_5,0.04644616896408199
act-libero_goal-task02-state14,ACT,libero_goal,2,14,69,dim_6,0.03095826628154289
act-libero_goal-task02-state14,ACT,libero_goal,2,14,69,translation,0.09424985864112696
act-libero_goal-task02-state14,ACT,libero_goal,2,14,69,rotation,0.0880548890133147
act-libero_goal-task02-state14,ACT,libero_goal,2,14,69,gripper,0.03095826628154289
act-libero_goal-task02-state14,ACT,libero_goal,2,14,69,arm_original,0.09426082556470561
act-libero_goal-task02-state15,ACT,libero_goal,2,15,70,dim_0,0.10537154426429264
act-libero_goal-task02-state15,ACT,libero_goal,2,15,70,dim_1,0.04363453603188071
act-libero_goal-task02-state15,ACT,libero_goal,2,15,70,dim_2,0.08250597980283027
act-libero_goal-task02-state15,ACT,libero_goal,2,15,70,dim_3,0.09888648426177513
act-libero_goal-task02-state15,ACT,libero_goal,2,15,70,dim_4,0.11077096041229913
act-libero_goal-task02-state15,ACT,libero_goal,2,15,70,dim_5,0.029222612836479447
act-libero_goal-task02-state15,ACT,libero_goal,2,15,70,dim_6,0.01902034196942342
act-libero_goal-task02-state15,ACT,libero_goal,2,15,70,translation,0.09093607538642381
act-libero_goal-task02-state15,ACT,libero_goal,2,15,70,rotation,0.09530726261684887
act-libero_goal-task02-state15,ACT,libero_goal,2,15,70,gripper,0.01902034196942342
act-libero_goal-task02-state15,ACT,libero_goal,2,15,70,arm_original,0.09614672870319234
act-libero_goal-task02-state16,ACT,libero_goal,2,16,79,dim_0,0.0831676573084361
act-libero_goal-task02-state16,ACT,libero_goal,2,16,79,dim_1,0.040485010112695105
act-libero_goal-task02-state16,ACT,libero_goal,2,16,79,dim_2,0.0746909764228944
act-libero_goal-task02-state16,ACT,libero_goal,2,16,79,dim_3,0.06496082715709262
act-libero_goal-task02-state16,ACT,libero_goal,2,16,79,dim_4,0.12200851872728592
act-libero_goal-task02-state16,ACT,libero_goal,2,16,79,dim_5,0.029862911160436174
act-libero_goal-task02-state16,ACT,libero_goal,2,16,79,dim_6,0.027240972655331666
act-libero_goal-task02-state16,ACT,libero_goal,2,16,79,translation,0.07604772507996413
act-libero_goal-task02-state16,ACT,libero_goal,2,16,79,rotation,0.08792194545219477
act-libero_goal-task02-state16,ACT,libero_goal,2,16,79,gripper,0.027240972655331666
act-libero_goal-task02-state16,ACT,libero_goal,2,16,79,arm_original,0.08529592689856284
act-libero_goal-task02-state17,ACT,libero_goal,2,17,65,dim_0,0.11931780155174614
act-libero_goal-task02-state17,ACT,libero_goal,2,17,65,dim_1,0.05563733164450651
act-libero_goal-task02-state17,ACT,libero_goal,2,17,65,dim_2,0.09176005628533068
act-libero_goal-task02-state17,ACT,libero_goal,2,17,65,dim_3,0.08484859224159041
act-libero_goal-task02-state17,ACT,libero_goal,2,17,65,dim_4,0.14380952802150607
act-libero_goal-task02-state17,ACT,libero_goal,2,17,65,dim_5,0.035833020780617585
act-libero_goal-task02-state17,ACT,libero_goal,2,17,65,dim_6,0.04673299543938961
act-libero_goal-task02-state17,ACT,libero_goal,2,17,65,translation,0.10657649862978069
act-libero_goal-task02-state17,ACT,libero_goal,2,17,65,rotation,0.10392747477952513
act-libero_goal-task02-state17,ACT,libero_goal,2,17,65,gripper,0.04673299543938961
act-libero_goal-task02-state17,ACT,libero_goal,2,17,65,arm_original,0.1090939600321322
act-libero_goal-task02-state18,ACT,libero_goal,2,18,74,dim_0,0.07857799144918523
act-libero_goal-task02-state18,ACT,libero_goal,2,18,74,dim_1,0.0456361594109108
act-libero_goal-task02-state18,ACT,libero_goal,2,18,74,dim_2,0.059073925008517214
act-libero_goal-task02-state18,ACT,libero_goal,2,18,74,dim_3,0.07931296984229771
act-libero_goal-task02-state18,ACT,libero_goal,2,18,74,dim_4,0.10366269815770997
act-libero_goal-task02-state18,ACT,libero_goal,2,18,74,dim_5,0.01609082137900584
act-libero_goal-task02-state18,ACT,libero_goal,2,18,74,dim_6,0.02652962527817208
act-libero_goal-task02-state18,ACT,libero_goal,2,18,74,translation,0.06955205661849137
act-libero_goal-task02-state18,ACT,libero_goal,2,18,74,rotation,0.0819809990794166
