cell_id,policy,suite,task_id,state_id,eligible_targets,source_age,metric,value,units
act-libero_object-task03-state13,ACT,libero_object,3,13,265,4,translation,0.15575685023391153,controller_native_action
act-libero_object-task03-state13,ACT,libero_object,3,13,265,4,rotation,0.017923355226862767,controller_native_action
act-libero_object-task03-state13,ACT,libero_object,3,13,265,4,gripper,0.7252775376884603,controller_native_action
act-libero_object-task03-state13,ACT,libero_object,3,13,265,4,arm_original,0.1108635265932341,controller_native_action
act-libero_object-task03-state13,ACT,libero_object,3,13,265,5,translation,0.17989689252424695,controller_native_action
act-libero_object-task03-state13,ACT,libero_object,3,13,265,5,rotation,0.021159372631397607,controller_native_action
act-libero_object-task03-state13,ACT,libero_object,3,13,265,5,gripper,0.8013444226367336,controller_native_action
act-libero_object-task03-state13,ACT,libero_object,3,13,265,5,arm_original,0.12808319755150324,controller_native_action
act-libero_object-task03-state13,ACT,libero_object,3,13,265,6,translation,0.20640378692190184,controller_native_action
act-libero_object-task03-state13,ACT,libero_object,3,13,265,6,rotation,0.023271691464964245,controller_native_action
act-libero_object-task03-state13,ACT,libero_object,3,13,265,6,gripper,0.9910724532260293,controller_native_action
act-libero_object-task03-state13,ACT,libero_object,3,13,265,6,arm_original,0.1468742572395557,controller_native_action
act-libero_object-task03-state13,ACT,libero_object,3,13,265,7,translation,0.2177816938929315,controller_native_action
act-libero_object-task03-state13,ACT,libero_object,3,13,265,7,rotation,0.02548464171761857,controller_native_action
act-libero_object-task03-state13,ACT,libero_object,3,13,265,7,gripper,0.9947329879657161,controller_native_action
act-libero_object-task03-state13,ACT,libero_object,3,13,265,7,arm_original,0.155045691907821,controller_native_action
act-libero_object-task03-state13,ACT,libero_object,3,13,265,8,translation,0.2486537927814921,controller_native_action
act-libero_object-task03-state13,ACT,libero_object,3,13,265,8,rotation,0.028251731121239358,controller_native_action
act-libero_object-task03-state13,ACT,libero_object,3,13,265,8,gripper,0.9686013300463959,controller_native_action
act-libero_object-task03-state13,ACT,libero_object,3,13,265,8,arm_original,0.17695602416415218,controller_native_action
act-libero_object-task03-state13,ACT,libero_object,3,13,265,9,translation,0.25828202237799264,controller_native_action
act-libero_object-task03-state13,ACT,libero_object,3,13,265,9,rotation,0.02954540604882476,controller_native_action
act-libero_object-task03-state13,ACT,libero_object,3,13,265,9,gripper,0.9566984572792986,controller_native_action
act-libero_object-task03-state13,ACT,libero_object,3,13,265,9,arm_original,0.1838240110843192,controller_native_action
act-libero_object-task03-state13,ACT,libero_object,3,13,265,10,translation,0.2824204221544853,controller_native_action
act-libero_object-task03-state13,ACT,libero_object,3,13,265,10,rotation,0.03152513410066134,controller_native_action
act-libero_object-task03-state13,ACT,libero_object,3,13,265,10,gripper,0.9162978565835658,controller_native_action
act-libero_object-task03-state13,ACT,libero_object,3,13,265,10,arm_original,0.20094169419259708,controller_native_action
act-libero_object-task03-state13,ACT,libero_object,3,13,265,11,translation,0.2906486738254662,controller_native_action
act-libero_object-task03-state13,ACT,libero_object,3,13,265,11,rotation,0.031833579535034316,controller_native_action
act-libero_object-task03-state13,ACT,libero_object,3,13,265,11,gripper,0.8974763516930955,controller_native_action
act-libero_object-task03-state13,ACT,libero_object,3,13,265,11,arm_original,0.2067486739770241,controller_native_action
act-libero_object-task03-state13,ACT,libero_object,3,13,265,12,translation,0.3106379323764035,controller_native_action
act-libero_object-task03-state13,ACT,libero_object,3,13,265,12,rotation,0.03357580872606044,controller_native_action
act-libero_object-task03-state13,ACT,libero_object,3,13,265,12,gripper,0.903493310347351,controller_native_action
act-libero_object-task03-state13,ACT,libero_object,3,13,265,12,arm_original,0.22093354200154403,controller_native_action
act-libero_object-task03-state13,ACT,libero_object,3,13,265,13,translation,0.32212970710468547,controller_native_action
act-libero_object-task03-state13,ACT,libero_object,3,13,265,13,rotation,0.0341322118690406,controller_native_action
act-libero_object-task03-state13,ACT,libero_object,3,13,265,13,gripper,0.8981733892354018,controller_native_action
act-libero_object-task03-state13,ACT,libero_object,3,13,265,13,arm_original,0.2290551855846354,controller_native_action
act-libero_object-task03-state13,ACT,libero_object,3,13,265,14,translation,0.3320647817439192,controller_native_action
act-libero_object-task03-state13,ACT,libero_object,3,13,265,14,rotation,0.03575124549060553,controller_native_action
act-libero_object-task03-state13,ACT,libero_object,3,13,265,14,gripper,0.9115686545610049,controller_native_action
act-libero_object-task03-state13,ACT,libero_object,3,13,265,14,arm_original,0.23616220149376807,controller_native_action
act-libero_object-task03-state13,ACT,libero_object,3,13,265,15,translation,0.34132082252532037,controller_native_action
act-libero_object-task03-state13,ACT,libero_object,3,13,265,15,rotation,0.036481560719492594,controller_native_action
act-libero_object-task03-state13,ACT,libero_object,3,13,265,15,gripper,0.880226166107075,controller_native_action
act-libero_object-task03-state13,ACT,libero_object,3,13,265,15,arm_original,0.2427249556204422,controller_native_action
act-libero_object-task03-state14,ACT,libero_object,3,14,149,0,translation,0.0,controller_native_action
act-libero_object-task03-state14,ACT,libero_object,3,14,149,0,rotation,0.0,controller_native_action
act-libero_object-task03-state14,ACT,libero_object,3,14,149,0,gripper,0.0,controller_native_action
act-libero_object-task03-state14,ACT,libero_object,3,14,149,0,arm_original,0.0,controller_native_action
act-libero_object-task03-state14,ACT,libero_object,3,14,149,1,translation,0.03462042510895471,controller_native_action
act-libero_object-task03-state14,ACT,libero_object,3,14,149,1,rotation,0.00413380553752928,controller_native_action
act-libero_object-task03-state14,ACT,libero_object,3,14,149,1,gripper,0.3895769189884183,controller_native_action
act-libero_object-task03-state14,ACT,libero_object,3,14,149,1,arm_original,0.02465423070131017,controller_native_action
act-libero_object-task03-state14,ACT,libero_object,3,14,149,2,translation,0.05052805312984107,controller_native_action
act-libero_object-task03-state14,ACT,libero_object,3,14,149,2,rotation,0.006121637693222195,controller_native_action
act-libero_object-task03-state14,ACT,libero_object,3,14,149,2,gripper,0.4907577107057345,controller_native_action
act-libero_object-task03-state14,ACT,libero_object,3,14,149,2,arm_original,0.03598998889371266,controller_native_action
act-libero_object-task03-state14,ACT,libero_object,3,14,149,3,translation,0.06465238108665174,controller_native_action
act-libero_object-task03-state14,ACT,libero_object,3,14,149,3,rotation,0.007616827372524004,controller_native_action
act-libero_object-task03-state14,ACT,libero_object,3,14,149,3,gripper,0.5374570197215323,controller_native_action
act-libero_object-task03-state14,ACT,libero_object,3,14,149,3,arm_original,0.04603230626091024,controller_native_action
act-libero_object-task03-state14,ACT,libero_object,3,14,149,4,translation,0.07433735139499367,controller_native_action
act-libero_object-task03-state14,ACT,libero_object,3,14,149,4,rotation,0.008505818901794564,controller_native_action
act-libero_object-task03-state14,ACT,libero_object,3,14,149,4,gripper,0.5657618358296038,controller_native_action
act-libero_object-task03-state14,ACT,libero_object,3,14,149,4,arm_original,0.05290742276662554,controller_native_action
act-libero_object-task03-state14,ACT,libero_object,3,14,149,5,translation,0.07862289076761009,controller_native_action
act-libero_object-task03-state14,ACT,libero_object,3,14,149,5,rotation,0.009139459690781776,controller_native_action
