condition,model,group,offset,sample_count,positive_count,negative_count,positive_rate,auroc,auprc,brier,ece,undefined_discrimination,undefined_reason,empirical_brier,brier_skill_score_vs_empirical
A_chunk_only,monotone_conditional_survival_shared_mlp,arm,31,288,196,92,0.6805555555555556,0.7037488908606921,0.8096614573388328,0.19899096151077933,0.09069654603971672,False,,0.21930260462977857,0.0926192516194182
A_chunk_only,monotone_conditional_survival_shared_mlp,arm,32,287,194,93,0.6759581881533101,0.7022503048442523,0.8084655176850492,0.2007579477420175,0.08890700726489485,False,,0.2207107478502448,0.09040248516472582
A_chunk_only,monotone_conditional_survival_shared_mlp,arm,33,284,187,97,0.6584507042253521,0.6766084128121727,0.7809576187645343,0.21492811346991963,0.10403009789409741,False,,0.2275188474006327,0.055339300785672174
A_chunk_only,monotone_conditional_survival_shared_mlp,arm,34,284,182,102,0.6408450704225352,0.6887524240465417,0.7890018454042919,0.21852765076564257,0.10553416315455309,False,,0.23412855849132957,0.06663393746673052
A_chunk_only,monotone_conditional_survival_shared_mlp,arm,35,283,179,104,0.6325088339222615,0.688117748173614,0.7774290144381524,0.21820564317007973,0.09623561726438888,False,,0.23627333847444035,0.07646946295768853
A_chunk_only,monotone_conditional_survival_shared_mlp,arm,36,281,175,106,0.6227758007117438,0.6907277628032344,0.7737014072513622,0.22173712032741696,0.10613010681403397,False,,0.23934758713372956,0.07357695566186417
A_chunk_only,monotone_conditional_survival_shared_mlp,arm,37,280,173,107,0.6178571428571429,0.6965588028739669,0.7735894284831537,0.22116395685795642,0.10866222428746333,False,,0.24016343054374698,0.07911060248754109
A_chunk_only,monotone_conditional_survival_shared_mlp,arm,38,277,167,110,0.6028880866425993,0.6901469787697333,0.7663897510787598,0.22767898700383943,0.12367737121377716,False,,0.24459527893859329,0.06916033706031077
A_chunk_only,monotone_conditional_survival_shared_mlp,arm,39,274,164,110,0.5985401459854015,0.6923503325942351,0.7660990814719807,0.22659167090626348,0.1188439274291281,False,,0.24581881055496513,0.07821671419406062
A_chunk_only,monotone_conditional_survival_shared_mlp,arm,40,270,161,109,0.5962962962962963,0.7014074876061314,0.7698356502730208,0.22301509624790594,0.11359221144698871,False,,0.2452471856268681,0.09065176149579635
A_chunk_only,monotone_conditional_survival_shared_mlp,arm,41,267,159,108,0.5955056179775281,0.7117982762636851,0.773881617055564,0.21621630815385096,0.09033058956406853,False,,0.24477517958980743,0.1166738861506107
A_chunk_only,monotone_conditional_survival_shared_mlp,arm,42,264,155,109,0.5871212121212122,0.713347144125481,0.7690001743205893,0.21703326227229244,0.08780769136700457,False,,0.24589627668217406,0.11737881841613917
A_chunk_only,monotone_conditional_survival_shared_mlp,arm,43,259,153,106,0.5907335907335908,0.7190775681341719,0.7785605163195494,0.2118378820859351,0.07496208440567229,False,,0.24358215358215365,0.13032264896825485
A_chunk_only,monotone_conditional_survival_shared_mlp,arm,44,256,146,110,0.5703125,0.7046077210460772,0.757053686838094,0.22016503542563753,0.09825649474573508,False,,0.2471974872798964,0.10935569026901393
A_chunk_only,monotone_conditional_survival_shared_mlp,arm,45,252,143,109,0.5674603174603174,0.7148906139731828,0.7605457773466721,0.21563071932904374,0.08372270509110662,False,,0.24701008607493533,0.12703678317156675
A_chunk_only,monotone_conditional_survival_shared_mlp,arm,46,248,137,111,0.5524193548387096,0.7118432300914053,0.7488613212448118,0.21914349534491417,0.0898039998655481,False,,0.24840636013022163,0.1178023975310738
A_chunk_only,monotone_conditional_survival_shared_mlp,arm,47,245,131,114,0.5346938775510204,0.7055042185616713,0.7344442409664441,0.2248748932468766,0.09915475068810735,False,,0.25049502867262613,0.10227801949408222
A_chunk_only,monotone_conditional_survival_shared_mlp,arm,48,244,127,117,0.5204918032786885,0.7035466720506091,0.723699304192345,0.22748541640715209,0.09616301405023182,False,,0.2511999252590032,0.09440492001500378
A_chunk_only,monotone_conditional_survival_shared_mlp,arm,49,242,122,120,0.5041322314049587,0.7021174863387978,0.7087901562685262,0.22883442963929665,0.10594063264411128,False,,0.25199945364392295,0.09192489773155876
A_chunk_only,monotone_conditional_survival_shared_mlp,arm,50,238,114,124,0.4789915966386555,0.7047255234861347,0.690692183138614,0.22792389238772626,0.1056270201317947,False,,0.25253603535914615,0.09745992462587583
A_chunk_only,monotone_conditional_survival_shared_mlp,arm,51,232,108,124,0.46551724137931033,0.7163231780167264,0.6867552142545675,0.22287137225935366,0.10381131911296843,False,,0.2519718401668731,0.11549095283126509
A_chunk_only,monotone_conditional_survival_shared_mlp,arm,52,229,106,123,0.462882096069869,0.7165209387942936,0.6815717308208544,0.2212879742124375,0.10972090808778209,False,,0.2505661906732054,0.11684823232577801
A_chunk_only,monotone_conditional_survival_shared_mlp,arm,53,224,104,120,0.4642857142857143,0.7120192307692308,0.6748090245507515,0.22222371464523258,0.09992173202123357,False,,0.24966444408645325,0.10991044216019219
A_chunk_only,monotone_conditional_survival_shared_mlp,arm,54,219,100,119,0.45662100456621,0.7157983193277311,0.6719288067831415,0.21952911642030892,0.09607140936397286,False,,0.24895527193982547,0.11819856350191726
A_chunk_only,monotone_conditional_survival_shared_mlp,arm,55,219,99,120,0.4520547945205479,0.7216329966329966,0.6727646322188864,0.21748968594498969,0.09293192118441503,False,,0.24830932196979622,0.12411791784665804
