condition,model,offset,sample_count,positive_count,negative_count,positive_rate,auroc,auprc,brier,ece,undefined_discrimination,undefined_reason,empirical_brier,brier_skill_score_vs_empirical
A_chunk_only,monotone_conditional_survival_shared_mlp,35,566,246,320,0.43462897526501765,0.8548907520325203,0.7760267789107962,0.15447448598730598,0.05703393441862505,False,,0.2085135699921319,0.2591633916529511
A_chunk_only,monotone_conditional_survival_shared_mlp,36,562,238,324,0.4234875444839858,0.8603848946986202,0.7750689675938319,0.15197937001565962,0.06040303224365187,False,,0.2066415258907867,0.2645264819812494
A_chunk_only,monotone_conditional_survival_shared_mlp,37,560,228,332,0.40714285714285714,0.8680511519763263,0.7759308021178078,0.14887889719414815,0.06594254440418956,False,,0.19907123041794256,0.25213253124732027
A_chunk_only,monotone_conditional_survival_shared_mlp,38,554,221,333,0.3989169675090253,0.8641854524207465,0.7677122427416595,0.15127303189047625,0.06642185459995971,False,,0.20080703722303886,0.24667464854602972
A_chunk_only,monotone_conditional_survival_shared_mlp,39,548,214,334,0.3905109489051095,0.8647238233812748,0.7648055386212868,0.15044383976652556,0.06527773014529956,False,,0.19750337217816685,0.23827204514355893
A_chunk_only,monotone_conditional_survival_shared_mlp,40,540,210,330,0.3888888888888889,0.8670418470418471,0.7670798235491932,0.14900290072386585,0.06337749891847343,False,,0.19689672427839014,0.24324337405841112
A_chunk_only,monotone_conditional_survival_shared_mlp,41,534,205,329,0.3838951310861423,0.8769515901845949,0.7753790288980166,0.1393791870912163,0.04672211141620569,False,,0.19369202978174915,0.28040824783411167
A_chunk_only,monotone_conditional_survival_shared_mlp,42,528,199,329,0.3768939393939394,0.8786943837729682,0.7742283350855711,0.13802648759333802,0.04672616985780268,False,,0.19240607768065612,0.2826292742039783
A_chunk_only,monotone_conditional_survival_shared_mlp,43,518,196,322,0.3783783783783784,0.8779629864368107,0.7737751859295683,0.13752537066251738,0.04105215421077822,False,,0.1910213820470231,0.28005247795420507
A_chunk_only,monotone_conditional_survival_shared_mlp,44,512,184,328,0.359375,0.8686373276776246,0.7450268760518263,0.14182570973320968,0.05262104667800157,False,,0.18685116353407522,0.24096961961199903
A_chunk_only,monotone_conditional_survival_shared_mlp,45,504,181,323,0.35912698412698413,0.8713374270906385,0.7489274602578713,0.13985276085105733,0.04426268867914773,False,,0.1875446028978989,0.25429599844472983
A_chunk_only,monotone_conditional_survival_shared_mlp,46,496,175,321,0.3528225806451613,0.867716955941255,0.7401677476652053,0.14210688924439885,0.05128848225514915,False,,0.1890783761663725,0.24842336746452076
A_chunk_only,monotone_conditional_survival_shared_mlp,47,490,166,324,0.33877551020408164,0.868399524022014,0.729603461027411,0.14220491412134162,0.05020668085050952,False,,0.18653009993253505,0.23763020460089357
A_chunk_only,monotone_conditional_survival_shared_mlp,48,488,160,328,0.32786885245901637,0.8678925304878049,0.7238325866487216,0.1422514006083129,0.04948981538350708,False,,0.1842327877771015,0.22787142112608538
A_chunk_only,monotone_conditional_survival_shared_mlp,49,484,153,331,0.31611570247933884,0.8647591967300515,0.7111609414122253,0.14255313162387062,0.05577210588166725,False,,0.18205797605029028,0.21699046250798237
A_chunk_only,monotone_conditional_survival_shared_mlp,50,476,145,331,0.30462184873949577,0.864944265027607,0.7014373896819668,0.14138239371457517,0.052391681548464665,False,,0.18311680557092885,0.22791142367426342
A_chunk_only,monotone_conditional_survival_shared_mlp,51,464,139,325,0.2995689655172414,0.8672274488101827,0.7000929265467295,0.1389443767053067,0.05576783280224101,False,,0.18401921835254353,0.2449463814202415
A_chunk_only,monotone_conditional_survival_shared_mlp,52,458,136,322,0.29694323144104806,0.8638792473511143,0.6907199253556336,0.13990607812145553,0.0526347980439668,False,,0.18239227106605155,0.23293855982093703
A_chunk_only,monotone_conditional_survival_shared_mlp,53,448,134,314,0.29910714285714285,0.8623918623443293,0.6883589636901877,0.14053235139034323,0.04955434851849711,False,,0.18294377872033654,0.23182765561449914
A_chunk_only,monotone_conditional_survival_shared_mlp,54,438,129,309,0.2945205479452055,0.8593863676275055,0.6767155545542745,0.1410851781049308,0.05835109993592181,False,,0.18204292713340556,0.22498951029533776
A_chunk_only,monotone_conditional_survival_shared_mlp,55,438,128,310,0.2922374429223744,0.8612903225806452,0.6795637188996848,0.13973896540393757,0.05658562447992483,False,,0.18170408741118432,0.23095309855238677
A_chunk_only,monotone_conditional_survival_shared_mlp,56,434,124,310,0.2857142857142857,0.8597814776274714,0.676904112739363,0.1400729184702545,0.0678710365307982,False,,0.18129512076854765,0.2273762367323714
